monthly_income,credit_utilization,debt_to_income,savings_rate,missed_payments_12m,age,risk_flag
89681,0.526,0.637,0.359,0,34,0
45459,0.141,0.235,0.112,1,54,0
169429,0.613,0.193,0.312,3,27,1
171142,0.372,0.417,0.266,0,31,0
164170,0.411,0.32,-0.013,4,49,1
102615,0.545,0.847,0.365,3,61,1
210281,0.341,0.243,0.2,3,56,0
86607,0.374,0.412,0.428,0,23,0
176175,0.065,0.158,0.39,0,40,0
76314,0.82,0.067,0.352,5,38,1
154026,0.551,0.791,-0.015,0,50,1
56282,0.288,0.762,0.037,2,40,1
124804,0.562,0.224,-0.058,2,51,1
236453,0.859,0.612,0.351,0,59,1
29796,0.708,0.511,-0.057,0,42,1
234208,0.441,0.794,-0.034,1,62,0
22997,0.62,0.556,-0.07,4,23,1
168088,0.185,0.452,0.021,0,64,0
122991,0.924,0.652,0.216,0,35,1
226141,0.405,0.156,-0.055,4,24,1
88827,0.127,0.451,0.326,1,29,1
71932,0.489,0.572,0.008,4,54,1
38781,0.29,0.394,0.277,4,26,1
128418,0.431,0.329,0.076,4,62,1
99906,0.202,0.33,0.352,3,60,1
31764,0.882,0.237,0.277,1,26,1
34296,0.269,0.547,-0.019,2,21,1
230837,0.15,0.41,-0.087,1,55,1
163241,0.521,0.257,0.166,5,30,1
195180,0.067,0.516,0.265,0,37,0
94452,0.231,0.607,0.049,3,62,1
37458,0.4,0.267,0.369,5,44,1
25001,0.313,0.757,0.113,3,53,1
46110,0.863,0.438,0.228,0,32,1
140058,0.555,0.62,-0.078,4,40,1
123127,0.72,0.065,0.276,2,61,1
151400,0.298,0.1,0.042,3,22,0
93451,0.253,0.323,0.116,1,26,0
156503,0.915,0.54,0.244,1,47,1
60042,0.434,0.3,0.233,3,55,1
191041,0.175,0.483,0.34,1,40,0
157312,0.869,0.394,0.4,1,62,0
61431,0.336,0.496,0.422,0,32,1
58147,0.704,0.662,0.384,3,47,1
215457,0.89,0.765,0.413,2,30,1
47989,0.168,0.071,0.442,4,38,1
180527,0.258,0.236,0.278,2,26,0
144938,0.171,0.727,0.158,5,44,1
121570,0.492,0.16,0.006,0,47,0
23935,0.883,0.81,0.022,5,33,1
37337,0.209,0.814,0.142,4,52,1
247219,0.462,0.247,0.123,0,59,0
119712,0.698,0.365,0.417,4,59,1
188137,0.838,0.68,0.186,3,50,1
31119,0.84,0.247,0.196,5,23,1
155299,0.739,0.82,0.004,3,46,1
222814,0.795,0.419,0.132,4,24,1
57287,0.467,0.567,-0.05,4,28,1
173471,0.894,0.607,-0.026,3,41,1
66891,0.458,0.767,0.393,3,26,1
201329,0.634,0.619,-0.01,5,28,1
205133,0.454,0.34,0.188,3,53,1
61916,0.391,0.354,0.323,2,57,1
246144,0.185,0.745,-0.002,5,24,1
101138,0.707,0.819,0.059,1,28,1
73176,0.053,0.662,-0.093,3,52,1
21507,0.597,0.445,0.019,5,51,1
135834,0.121,0.53,0.035,4,38,1
166158,0.788,0.216,0.002,0,62,1
58109,0.818,0.584,0.361,2,42,1
32853,0.148,0.845,-0.011,2,60,1
203460,0.585,0.68,-0.002,3,58,1
29395,0.134,0.289,0.103,3,25,1
241068,0.545,0.284,-0.026,5,38,1
128464,0.522,0.607,0.237,0,57,0
184882,0.526,0.12,0.298,4,39,1
242245,0.335,0.47,0.447,2,29,1
150127,0.518,0.555,0.171,1,60,1
96149,0.931,0.051,-0.087,5,28,1
74350,0.77,0.849,0.128,2,43,1
187117,0.241,0.562,0.28,2,25,1
152825,0.545,0.664,-0.037,2,42,1
169139,0.604,0.073,-0.003,2,42,0
145595,0.875,0.688,0.255,3,30,1
246813,0.533,0.318,0.331,3,24,1
98471,0.558,0.593,0.205,0,34,1
106958,0.77,0.76,0.094,1,38,1
108906,0.935,0.551,0.363,4,59,1
176025,0.155,0.676,0.07,2,23,1
42753,0.497,0.24,0.149,2,34,1
65878,0.151,0.678,0.328,0,49,0
229459,0.484,0.45,0.005,3,54,1
105809,0.179,0.747,0.352,4,64,0
73788,0.702,0.417,0.293,4,28,1
31542,0.668,0.525,-0.052,3,23,1
220849,0.643,0.3,0.218,2,61,0
104116,0.23,0.279,0.193,3,63,1
59143,0.192,0.142,0.427,4,53,1
162220,0.365,0.305,-0.022,5,39,1
64898,0.114,0.541,0.086,3,24,1
143400,0.863,0.09,0.111,0,48,1
204727,0.587,0.524,0.36,5,49,1
101904,0.349,0.209,0.317,4,26,0
218113,0.738,0.504,-0.049,5,50,1
101367,0.666,0.618,0.156,1,35,1
181727,0.282,0.341,0.001,5,42,1
105134,0.458,0.074,0.161,2,51,1
64774,0.304,0.329,0.216,4,27,1
207242,0.767,0.311,0.257,2,55,1
174805,0.422,0.547,0.201,3,45,1
74588,0.783,0.523,0.331,3,57,1
162744,0.675,0.188,0.268,5,57,1
49969,0.583,0.42,0.205,3,32,1
126376,0.113,0.137,0.348,3,41,1
193058,0.105,0.224,-0.024,4,61,1
218463,0.182,0.169,0.192,3,60,1
71292,0.235,0.752,0.065,5,40,1
133961,0.696,0.782,0.445,4,21,1
153804,0.414,0.152,0.062,2,56,0
20221,0.683,0.707,0.098,2,22,1
204083,0.581,0.55,0.291,3,45,1
75369,0.646,0.43,0.004,3,44,1
60440,0.31,0.748,-0.031,0,25,1
57747,0.699,0.439,0.14,1,26,1
231272,0.424,0.415,0.334,4,48,1
139116,0.508,0.492,0.148,2,35,1
178485,0.057,0.449,0.302,5,53,1
163174,0.569,0.077,-0.079,3,44,1
146230,0.916,0.114,0.302,4,38,1
40508,0.521,0.538,0.035,5,63,1
40468,0.666,0.481,0.219,4,24,1
160255,0.751,0.425,0.182,3,57,1
130366,0.368,0.832,0.062,1,23,1
176666,0.724,0.632,0.21,0,61,1
64323,0.566,0.575,0.06,5,60,1
147076,0.124,0.454,0.368,2,37,1
93655,0.298,0.256,0.308,4,32,1
213715,0.186,0.407,0.344,2,65,1
67398,0.769,0.74,0.089,0,30,1
235409,0.189,0.447,0.446,3,36,1
210316,0.624,0.219,0.304,2,24,1
218045,0.788,0.092,0.155,3,40,1
217244,0.88,0.237,0.276,3,51,1
